Index;Education level;Degree;Tuition fees;ID;Branches of Science;Group of Professions;Year;Number of Applications;Number of Students
26;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Shipbuilding and Water Transport Technologies;2014;5671;1091
27;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Technical Management;2014;62095;6944
28;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Nanotechnology;2014;6589;718
29;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Light Industry Technologies;2014;11503;2363
30;Higher Education;Bachelor's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Fundamental Medicine;2014;0;0
31;Higher Education;Bachelor's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Clinical Medicine;2014;0;0
32;Higher Education;Bachelor's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Health Sciences and Preventive Healthcare;2014;0;0
33;Higher Education;Bachelor's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Pharmacy;2014;0;0
34;Higher Education;Bachelor's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Nursing;2014;2592;104
35;Higher Education;Bachelor's degree;Scholarship / tuition-free;4;Agriculture;Agriculture, Forestry, and Fisheries;2014;86846;23918
36;Higher Education;Bachelor's degree;Scholarship / tuition-free;4;Agriculture;Veterinary Medicine and Zootechnics;2014;19670;4653
37;Higher Education;Bachelor's degree;Scholarship / tuition-free;5;Social Sciences;Psychology;2014;47652;2446
38;Higher Education;Bachelor's degree;Scholarship / tuition-free;5;Social Sciences;Economics and Management;2014;1173461;31015
39;Higher Education;Bachelor's degree;Scholarship / tuition-free;5;Social Sciences;Sociology and Social Services;2014;76388;6604
40;Higher Education;Bachelor's degree;Scholarship / tuition-free;5;Social Sciences;Jurisprudence;2014;270291;9691
41;Higher Education;Bachelor's degree;Scholarship / tuition-free;5;Social Sciences;Political Science and Regional Studies;2014;62703;2512
42;Higher Education;Bachelor's degree;Scholarship / tuition-free;5;Social Sciences;Mass Media and Information;2014;71580;2921
43;Higher Education;Bachelor's degree;Scholarship / tuition-free;5;Social Sciences;Service and Tourism;2014;81332;4339
44;Higher Education;Bachelor's degree;Scholarship / tuition-free;6;Education Sciences and Pedagogy;Education Sciences and Pedagogy;2014;414011;54709
45;Higher Education;Bachelor's degree;Scholarship / tuition-free;7;Humanities;Linguistics and Philology;2014;75345;6567
46;Higher Education;Bachelor's degree;Scholarship / tuition-free;7;Humanities;History and Archaeology;2014;32316;3121
47;Higher Education;Bachelor's degree;Scholarship / tuition-free;7;Humanities;Philosophy, Ethics, and Religious Studies;2014;5821;703
48;Higher Education;Bachelor's degree;Scholarship / tuition-free;7;Humanities;Theology;2014;1910;220
49;Higher Education;Bachelor's degree;Scholarship / tuition-free;7;Humanities;Physical Education and Sports;2014;24715;6758
50;Higher Education;Bachelor's degree;Scholarship / tuition-free;8;Arts and Culture;Art History;2014;5206;498
51;Higher Education;Bachelor's degree;Scholarship / tuition-free;8;Arts and Culture;Cultural Studies and Socio-Cultural Projects;2014;25559;4796
52;Higher Education;Bachelor's degree;Scholarship / tuition-free;8;Arts and Culture;Performing Arts and Literary Creativity;2014;2132;495
53;Higher Education;Bachelor's degree;Scholarship / tuition-free;8;Arts and Culture;Musical Art;2014;7884;2127
54;Higher Education;Bachelor's degree;Scholarship / tuition-free;8;Arts and Culture;Design and Restoration;2014;21902;2864
55;Higher Education;Bachelor's degree;Scholarship / tuition-free;8;Arts and Culture;Film and Screen Arts;2014;0;0
56;Higher Education;Bachelor's degree;Scholarship / tuition-free;9;Military Science;Military Management;2014;0;0
57;Higher Education;Bachelor's degree;Scholarship / tuition-free;9;Military Science;Ensuring National Security;2014;NaN;NaN
58;Higher Education;Bachelor's degree;Scholarship / tuition-free;10;Oriental and African Studies;Oriental and African Studies;2014;0;0
59;Higher Education;Specialist's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Mathematics and Mechanics;2014;3083;505
60;Higher Education;Specialist's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Computer Science;2014;0;0
61;Higher Education;Specialist's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Physics and Astronomy;2014;512;61
62;Higher Education;Specialist's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Chemistry;2014;8144;1053
63;Higher Education;Specialist's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Earth Science;2014;0;0
64;Higher Education;Specialist's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Biological Sciences;2014;1430;106
65;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Architecture;2014;0;0
66;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Construction Equipment and Technologies;2014;27188;2907
67;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Information Technology;2014;805;259
68;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Information Security;2014;21465;2182
69;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Electronics, and Radio Engineering and Communication Systems;2014;6521;1393
70;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Photonics, Instrument Engineering, Optical and Biotechnical Technologies;2014;1346;142
71;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Electrical and Thermal Power Engineering;2014;342;80
72;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Nuclear Energy and Technology;2014;2856;793
73;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Mechanical Engineering;2014;3131;571
74;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Physics and Technical Sciences and Technologies;2014;215;24
75;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Weaponry and Military Technology;2014;3285;564
76;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Chemical Technologies;2014;3791;757
77;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Industrial Ecology and Biotechnology;2014;0;0
78;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Industrial Safety and Environmental Management;2014;4155;484
79;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Geology, Mining, Oil and Gas Engineering and Geodesy;2014;27350;5848
80;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Material Technology;2014;0;0
81;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Transport Equipment and Technologies;2014;47689;9502
82;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Aviation, Rocket, and Space Technology;2014;13851;2715
83;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Air Navigation and Operation of Aviation, Rocket and Space Technology;2014;5028;1133
84;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Shipbuilding and Water Transport Technologies;2014;13405;3282
85;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Technical Management;2014;464;88
86;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Nanotechnology;2014;0;0
87;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Light Industry Technologies;2014;0;0
88;Higher Education;Specialist's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Fundamental Medicine;2014;10817;445
89;Higher Education;Specialist's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Clinical Medicine;2014;318875;21170
90;Higher Education;Specialist's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Health Sciences and Preventive Healthcare;2014;26244;1429
91;Higher Education;Specialist's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Pharmacy;2014;37732;1808
92;Higher Education;Specialist's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Nursing;2014;0;0
93;Higher Education;Specialist's degree;Scholarship / tuition-free;4;Agriculture;Agriculture, Forestry, and Fisheries;2014;0;0
94;Higher Education;Specialist's degree;Scholarship / tuition-free;4;Agriculture;Veterinary Medicine and Zootechnics;2014;18754;4111
95;Higher Education;Specialist's degree;Scholarship / tuition-free;5;Social Sciences;Psychology;2014;23223;1050
96;Higher Education;Specialist's degree;Scholarship / tuition-free;5;Social Sciences;Economics and Management;2014;62191;1390
97;Higher Education;Specialist's degree;Scholarship / tuition-free;5;Social Sciences;Sociology and Social Services;2014;0;0
98;Higher Education;Specialist's degree;Scholarship / tuition-free;5;Social Sciences;Jurisprudence;2014;25997;941
99;Higher Education;Specialist's degree;Scholarship / tuition-free;5;Social Sciences;Political Science and Regional Studies;2014;0;0
100;Higher Education;Specialist's degree;Scholarship / tuition-free;5;Social Sciences;Mass Media and Information;2014;0;0
101;Higher Education;Specialist's degree;Scholarship / tuition-free;5;Social Sciences;Service and Tourism;2014;0;0
102;Higher Education;Specialist's degree;Scholarship / tuition-free;6;Education Sciences and Pedagogy;Education Sciences and Pedagogy;2014;1810;357
103;Higher Education;Specialist's degree;Scholarship / tuition-free;7;Humanities;Linguistics and Philology;2014;5240;378
104;Higher Education;Specialist's degree;Scholarship / tuition-free;7;Humanities;History and Archaeology;2014;0;0
105;Higher Education;Specialist's degree;Scholarship / tuition-free;7;Humanities;Philosophy, Ethics, and Religious Studies;2014;0;0
106;Higher Education;Specialist's degree;Scholarship / tuition-free;7;Humanities;Theology;2014;0;0
107;Higher Education;Specialist's degree;Scholarship / tuition-free;7;Humanities;Physical Education and Sports;2014;0;0
108;Higher Education;Specialist's degree;Scholarship / tuition-free;8;Arts and Culture;Art History;2014;0;0
109;Higher Education;Specialist's degree;Scholarship / tuition-free;8;Arts and Culture;Cultural Studies and Socio-Cultural Projects;2014;358;69
110;Higher Education;Specialist's degree;Scholarship / tuition-free;8;Arts and Culture;Performing Arts and Literary Creativity;2014;9911;1199
111;Higher Education;Specialist's degree;Scholarship / tuition-free;8;Arts and Culture;Musical Art;2014;4159;1306
112;Higher Education;Specialist's degree;Scholarship / tuition-free;8;Arts and Culture;Design and Restoration;2014;3636;750
113;Higher Education;Specialist's degree;Scholarship / tuition-free;8;Arts and Culture;Film and Screen Arts;2014;4890;450
114;Higher Education;Specialist's degree;Scholarship / tuition-free;9;Military Science;Military Management;2014;11;1
115;Higher Education;Specialist's degree;Scholarship / tuition-free;9;Military Science;Ensuring National Security;2014;NaN;NaN
116;Higher Education;Specialist's degree;Scholarship / tuition-free;10;Oriental and African Studies;Oriental and African Studies;2014;0;0
117;Higher Education;Master's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Mathematics and Mechanics;2014;4032;2141
118;Higher Education;Master's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Computer Science;2014;1904;774
119;Higher Education;Master's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Physics and Astronomy;2014;3167;2054
120;Higher Education;Master's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Chemistry;2014;1322;849
121;Higher Education;Master's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Earth Science;2014;3824;1943
122;Higher Education;Master's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Biological Sciences;2014;2351;1308
123;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Architecture;2014;1313;591
124;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Construction Equipment and Technologies;2014;5278;2479
125;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Information Technology;2014;9230;4376
126;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Information Security;2014;516;220
127;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Electronics, and Radio Engineering and Communication Systems;2014;4285;2332
128;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Photonics, Instrument Engineering, Optical and Biotechnical Technologies;2014;2315;1279
129;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Electrical and Thermal Power Engineering;2014;4892;2860
130;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Nuclear Energy and Technology;2014;492;392
131;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Mechanical Engineering;2014;4765;2746
132;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Physics and Technical Sciences and Technologies;2014;887;519
133;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Weaponry and Military Technology;2014;15;10
134;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Chemical Technologies;2014;1887;1150
135;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Industrial Ecology and Biotechnology;2014;1819;993
136;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Industrial Safety and Environmental Management;2014;3110;960
137;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Geology, Mining, Oil and Gas Engineering and Geodesy;2014;3429;1318
138;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Material Technology;2014;1773;1031
139;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Transport Equipment and Technologies;2014;1603;907
140;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Aviation, Rocket, and Space Technology;2014;676;387
141;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Air Navigation and Operation of Aviation, Rocket and Space Technology;2014;48;25
142;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Shipbuilding and Water Transport Technologies;2014;153;103
143;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Technical Management;2014;4684;2256
144;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Nanotechnology;2014;252;109
145;Higher Education;Master's degree;Scholarship / tuition-free;2;Engineering and Technology;Light Industry Technologies;2014;562;294
146;Higher Education;Master's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Fundamental Medicine;2014;0;0
147;Higher Education;Master's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Clinical Medicine;2014;0;0
148;Higher Education;Master's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Health Sciences and Preventive Healthcare;2014;125;35
149;Higher Education;Master's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Pharmacy;2014;0;0
150;Higher Education;Master's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Nursing;2014;0;0
151;Higher Education;Master's degree;Scholarship / tuition-free;4;Agriculture;Agriculture, Forestry, and Fisheries;2014;3919;2389
152;Higher Education;Master's degree;Scholarship / tuition-free;4;Agriculture;Veterinary Medicine and Zootechnics;2014;877;553
153;Higher Education;Master's degree;Scholarship / tuition-free;5;Social Sciences;Psychology;2014;7470;1456
154;Higher Education;Master's degree;Scholarship / tuition-free;5;Social Sciences;Economics and Management;2014;59976;10310
155;Higher Education;Master's degree;Scholarship / tuition-free;5;Social Sciences;Sociology and Social Services;2014;3803;1486
156;Higher Education;Master's degree;Scholarship / tuition-free;5;Social Sciences;Jurisprudence;2014;27840;2822
157;Higher Education;Master's degree;Scholarship / tuition-free;5;Social Sciences;Political Science and Regional Studies;2014;6386;1283
158;Higher Education;Master's degree;Scholarship / tuition-free;5;Social Sciences;Mass Media and Information;2014;2979;935
159;Higher Education;Master's degree;Scholarship / tuition-free;5;Social Sciences;Service and Tourism;2014;1724;585
160;Higher Education;Master's degree;Scholarship / tuition-free;6;Education Sciences and Pedagogy;Education Sciences and Pedagogy;2014;26284;8200
161;Higher Education;Master's degree;Scholarship / tuition-free;7;Humanities;Linguistics and Philology;2014;7713;2738
162;Higher Education;Master's degree;Scholarship / tuition-free;7;Humanities;History and Archaeology;2014;2678;1118
163;Higher Education;Master's degree;Scholarship / tuition-free;7;Humanities;Philosophy, Ethics, and Religious Studies;2014;1031;403
164;Higher Education;Master's degree;Scholarship / tuition-free;7;Humanities;Theology;2014;265;67
165;Higher Education;Master's degree;Scholarship / tuition-free;7;Humanities;Physical Education and Sports;2014;2881;1099
166;Higher Education;Master's degree;Scholarship / tuition-free;8;Arts and Culture;Art History;2014;822;59
167;Higher Education;Master's degree;Scholarship / tuition-free;8;Arts and Culture;Cultural Studies and Socio-Cultural Projects;2014;1532;586
168;Higher Education;Master's degree;Scholarship / tuition-free;8;Arts and Culture;Performing Arts and Literary Creativity;2014;425;99
169;Higher Education;Master's degree;Scholarship / tuition-free;8;Arts and Culture;Musical Art;2014;613;215
170;Higher Education;Master's degree;Scholarship / tuition-free;8;Arts and Culture;Design and Restoration;2014;1390;292
171;Higher Education;Master's degree;Scholarship / tuition-free;8;Arts and Culture;Film and Screen Arts;2014;0;0
172;Higher Education;Master's degree;Scholarship / tuition-free;9;Military Science;Military Management;2014;0;0
173;Higher Education;Master's degree;Scholarship / tuition-free;9;Military Science;Ensuring National Security;2014;NaN;NaN
174;Higher Education;Master's degree;Scholarship / tuition-free;10;Oriental and African Studies;Oriental and African Studies;2014;0;0
175;Higher Education;Bachelor's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Mathematics and Mechanics;2014;NaN;773
176;Higher Education;Bachelor's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Computer Science;2014;NaN;687
177;Higher Education;Bachelor's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Physics and Astronomy;2014;NaN;241
178;Higher Education;Bachelor's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Chemistry;2014;NaN;413
179;Higher Education;Bachelor's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Earth Science;2014;NaN;2131
180;Higher Education;Bachelor's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Biological Sciences;2014;NaN;1632
181;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Architecture;2014;NaN;2406
182;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Construction Equipment and Technologies;2014;NaN;18584
183;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Information Technology;2014;NaN;17507
184;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Information Security;2014;NaN;1138
185;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Electronics, and Radio Engineering and Communication Systems;2014;NaN;2933
186;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Photonics, Instrument Engineering, Optical and Biotechnical Technologies;2014;NaN;630
187;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Electrical and Thermal Power Engineering;2014;NaN;12411
188;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Nuclear Energy and Technology;2014;NaN;19
189;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Mechanical Engineering;2014;NaN;11130
190;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Physics and Technical Sciences and Technologies;2014;NaN;213
191;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Weaponry and Military Technology;2014;NaN;4
192;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Chemical Technologies;2014;NaN;2545
193;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Industrial Ecology and Biotechnology;2014;NaN;4606
194;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Industrial Safety and Environmental Management;2014;NaN;4200
195;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Geology, Mining, Oil and Gas Engineering and Geodesy;2014;NaN;12079
196;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Material Technology;2014;NaN;548
197;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Transport Equipment and Technologies;2014;NaN;8625
198;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Aviation, Rocket, and Space Technology;2014;NaN;215
199;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Air Navigation and Operation of Aviation, Rocket and Space Technology;2014;NaN;549
200;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Shipbuilding and Water Transport Technologies;2014;NaN;258
201;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Technical Management;2014;NaN;3459
202;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Nanotechnology;2014;NaN;28
203;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Light Industry Technologies;2014;NaN;606
204;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Fundamental Medicine;2014;NaN;0
205;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Clinical Medicine;2014;NaN;0
206;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Health Sciences and Preventive Healthcare;2014;NaN;0
207;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Pharmacy;2014;NaN;0
208;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Nursing;2014;NaN;1270
209;Higher Education;Bachelor's degree;Full pay / tuition fee;4;Agriculture;Agriculture, Forestry, and Fisheries;2014;NaN;6805
210;Higher Education;Bachelor's degree;Full pay / tuition fee;4;Agriculture;Veterinary Medicine and Zootechnics;2014;NaN;837
211;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Psychology;2014;NaN;12560
212;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Economics and Management;2014;NaN;246142
213;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Sociology and Social Services;2014;NaN;4394
214;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Jurisprudence;2014;NaN;104681
215;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Political Science and Regional Studies;2014;NaN;5417
216;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Mass Media and Information;2014;NaN;11906
217;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Service and Tourism;2014;NaN;11021
218;Higher Education;Bachelor's degree;Full pay / tuition fee;6;Education Sciences and Pedagogy;Education Sciences and Pedagogy;2014;NaN;45054
219;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;Linguistics and Philology;2014;NaN;9468
220;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;History and Archaeology;2014;NaN;2123
221;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;Philosophy, Ethics, and Religious Studies;2014;NaN;307
222;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;Theology;2014;NaN;717
223;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;Physical Education and Sports;2014;NaN;4914
224;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Art History;2014;NaN;525
225;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Cultural Studies and Socio-Cultural Projects;2014;NaN;2452
226;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Performing Arts and Literary Creativity;2014;NaN;290
227;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Musical Art;2014;NaN;985
228;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Design and Restoration;2014;NaN;4956
229;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Film and Screen Arts;2014;NaN;0
230;Higher Education;Bachelor's degree;Full pay / tuition fee;9;Military Science;Military Management;2014;NaN;0
231;Higher Education;Bachelor's degree;Full pay / tuition fee;9;Military Science;Ensuring National Security;2014;NaN;NaN
232;Higher Education;Bachelor's degree;Full pay / tuition fee;10;Oriental and African Studies;Oriental and African Studies;2014;NaN;0
233;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Mathematics and Mechanics;2014;NaN;19
234;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Computer Science;2014;NaN;0
235;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Physics and Astronomy;2014;NaN;7
236;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Chemistry;2014;NaN;129
237;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Earth Science;2014;NaN;0
